Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-04-07,68,Melilla,92,40,3.0,2.0,11,6
2020-04-07,68,Murcia,1283,500,84.0,78.0,193,24
2020-04-07,68,Navarra,3355,1488,124.0,202.0,421,124
2020-04-07,68,Pais Vasco,9021,4856,417.0,586.0,3728,211
2020-04-07,68,La Rioja,2846,918,66.0,160.0,994,127
2020-04-08,69,Andalucia,8997,4463.0,520.0,605.0,1041,230
2020-04-08,69,Aragon,3549,1716.0,255.0,349.0,659,100
2020-04-08,69,Asturias,1705,958.0,91.0,102.0,294,26
2020-04-08,69,Baleares,1412,731.0,129.0,89.0,616,43
2020-04-08,69,Canarias,1762,703.0,138.0,91.0,249,37
2020-04-08,69,Cantabria,1572,700.0,69.0,92.0,175,71
2020-04-08,69,Castilla La Mancha,11788,2731.0,354.0,1255.0,1557,711
2020-04-08,69,Castilla y Leon,10058,5322.0,342.0,1028.0,2988,477
2020-04-08,69,Cataluña,29647,20250.0,2442.0,3041.0,12250,1324
2020-04-08,69,Ceuta,84,9.0,4.0,4.0,7,1
2020-04-08,69,C. Valenciana,7655,1714.0,371.0,724.0,1344,212
2020-04-08,69,Extremadura,2184,898.0,98.0,271.0,328,68
2020-04-08,69,Galicia,6538,2014.0,158.0,213.0,800,207
2020-04-08,69,Madrid,42450,13289.0,1450.0,5586.0,19836,1981
2020-04-08,69,Melilla,93,40.0,3.0,2.0,12,1
2020-04-08,69,Murcia,1326,515.0,86.0,85.0,203,43
2020-04-08,69,Navarra,3467,1526.0,124.0,206.0,450,112
2020-04-08,69,Pais Vasco,9452,4982.0,430.0,635.0,4151,431
2020-04-08,69,La Rioja,2951,955.0,68.0,177.0,1061,105
2020-04-09,70,Andalucia,9261,4599.0,538.0,652.0,1193,264
2020-04-09,70,Aragon,3685,1765.0,261.0,385.0,718,136
2020-04-09,70,Asturias,1737,1018.0,94.0,110.0,340,32
2020-04-09,70,Baleares,1448,751.0,132.0,89.0,696,36
2020-04-09,70,Canarias,1834,730.0,140.0,92.0,359,72
2020-04-09,70,Cantabria,1619,720.0,71.0,98.0,214,47
2020-04-09,70,Castilla La Mancha,12489,2575.0,342.0,1322.0,1766,701
2020-04-09,70,Castilla y Leon,10518,5523.0,338.0,1082.0,3242,460
2020-04-09,70,Cataluña,31043,20943.0,2507.0,3148.0,13063,1396
2020-04-09,70,Ceuta,84,9.0,4.0,4.0,7,0
2020-04-09,70,C. Valenciana,7964,3815.0,541.0,767.0,1772,309
2020-04-09,70,Extremadura,2273,958.0,99.0,283.0,381,89
2020-04-09,70,Galicia,6758,2094.0,155.0,231.0,910,220
2020-04-09,70,Madrid,43877,12853.0,1433.0,5800.0,21121,1427
2020-04-09,70,Melilla,93,40.0,3.0,2.0,16,0
2020-04-09,70,Murcia,1356,533.0,87.0,88.0,219,30
2020-04-09,70,Navarra,3575,1526.0,124.0,214.0,462,108
2020-04-09,70,Pais Vasco,9806,5130.0,433.0,689.0,4514,354
2020-04-09,70,La Rioja,3026,997.0,69.0,182.0,1172,75
2020-04-10,71,Andalucia,9510,4715.0,582.0,691.0,1437,249
2020-04-10,71,Aragon,3831,1822.0,263.0,409.0,797,146
2020-04-10,71,Asturias,1799,1083.0,100.0,121.0,372,62
2020-04-10,71,Baleares,1488,777.0,136.0,97.0,737,40
2020-04-10,71,Canarias,1858,738.0,141.0,94.0,386,24
2020-04-10,71,Cantabria,1659,747.0,73.0,102.0,265,40
2020-04-10,71,Castilla La Mancha,13063,2359.0,329.0,1431.0,1982,574
2020-04-10,71,Castilla y Leon,11102,5674.0,332.0,1129.0,3506,584
2020-04-10,71,Cataluña,31824,21530.0,2582.0,3231.0,13513,781
2020-04-10,71,Ceuta,91,9.0,4.0,4.0,12,7
2020-04-10,71,C. Valenciana,8331,3987.0,561.0,796.0,2085,367
2020-04-10,71,Extremadura,2332,1003.0,101.0,288.0,397,59
2020-04-10,71,Galicia,6946,2165.0,151.0,243.0,997,188
2020-04-10,71,Madrid,44783,12432.0,1399.0,5972.0,22414,906
2020-04-10,71,Melilla,95,41.0,3.0,2.0,17,2
